,title,release_year,age_rating,runtime,rating,metascore,director,votes,gross
806,Blood for Dracula,1974,R,106,6.2,-1,Paul Morrissey,5169,-1
807,Just Before Dawn,1981,R,90,6.2,-1,Jeff Lieberman,5168,-1
808,Burial Ground: The Nights of Terror,1981,Unrated,85,5.7,-1,Andrea Bianchi,5150,-1
809,Madman,1981,R,88,5.3,-1,Joe Giannone,5117,-1
810,Scars of Dracula,1970,R,95,6.2,-1,Roy Ward Baker,5046,-1
811,It Came from Beneath the Sea,1955,Not Rated,79,6.0,-1,Robert Gordon,4985,-1
812,Dans ma peau,2002,Unrated,93,6.2,68,Marina de Van,4982,31046
813,Marebito,2004,R,92,6.1,50,Takashi Shimizu,4971,13893
814,Strait-Jacket,1964,Approved,93,6.8,-1,William Castle,4970,-1
815,Daughters of Darkness,1971,R,87,6.6,74,Harry Kümel,4953,-1
816,Werewolf of London,1935,Passed,75,6.4,-1,Stuart Walker,4944,-1
817,Shock Waves,1977,PG,85,5.6,-1,Ken Wiederhorn,4935,-1
818,The Vault of Horror,1973,R,87,6.6,-1,Roy Ward Baker,4932,-1
819,Vamp,1986,R,93,6.0,-1,Richard Wenk,4924,4941117
820,Dr. Jekyll and Mr. Hyde,1920,Unrated,69,7.0,-1,John S. Robertson,4924,-1
821,The Blood on Satan's Claw,1971,R,97,6.4,-1,Piers Haggard,4916,-1
822,The Woman in Black,1989,Not Rated,102,7.2,-1,Herbert Wise,4890,-1
823,House of Dracula,1945,Approved,67,5.8,-1,Erle C. Kenton,4872,-1
824,Dust Devil,1992,R,87,6.3,-1,Richard Stanley,4864,-1
825,The Hunchback of Notre Dame,1923,Passed,133,7.2,-1,Wallace Worsley,4853,2223160
826,Mystery of the Wax Museum,1933,Passed,77,6.8,-1,Michael Curtiz,4817,-1
827,House on the Edge of the Park,1980,Not Rated,91,5.8,-1,Ruggero Deodato,4802,-1
828,Twins of Evil,1971,R,87,6.6,62,John Hough,4791,-1
829,The Revenge of Frankenstein,1958,Unrated,90,6.8,-1,Terence Fisher,4747,-1
830,The House of the Laughing Windows,1976,110 min,110,7.1,-1,Pupi Avati,4746,-1
831,The Raven,1935,Approved,61,7.0,44,Lew Landers,4727,-1
832,God Told Me To,1976,R,91,6.3,55,Larry Cohen,4716,-1
833,Son of Dracula,1943,Passed,80,6.1,-1,Robert Siodmak,4697,-1
834,The Leopard Man,1943,Approved,66,6.9,-1,Jacques Tourneur,4671,-1
835,Alone in the Dark,1982,R,92,6.1,63,Jack Sholder,4660,-1
836,Mad Love,1935,Passed,68,7.3,-1,Karl Freund,4604,-1
837,Scarecrows,1988,R,83,5.4,-1,William Wesley,4585,-1
838,Kingdom of the Spiders,1977,PG,97,5.8,-1,John 'Bud' Cardos,4584,17000000
839,Deranged: Confessions of a Necrophile,1974,R,183,6.4,-1,Jeff Gillen,4564,45000
840,What Have You Done to Solange?,1972,R,107,7.0,-1,Massimo Dallamano,4547,-1
841,The Plague of the Zombies,1966,Approved,90,6.6,-1,John Gilling,4491,-1
842,A Lizard in a Woman's Skin,1971,Not Rated,95,6.9,-1,Lucio Fulci,4460,-1
843,Mark of the Vampire,1935,Passed,60,6.3,-1,Tod Browning,4454,-1
844,Long Weekend,1978,Not Rated,97,6.6,61,Colin Eggleston,4449,-1
845,Beyond the Darkness,1979,Unrated,94,6.3,-1,Joe D'Amato,4437,-1
